region ,lat,long,hv001,urban,trans_intens,svy_cluster,svy_class,
Huye,-2.505926,29.712786,1,0,low,included,low_included,
Gatsibo,-1.844667,30.310508,2,0,low,included,low_included,
Ngororero,-1.841935,29.574756,3,0,low,included,low_included,
Kirehe,-2.348161,30.463639,4,0,high,included,high_included,
Bugesera,-2.211301,30.161839,5,0,low,included,low_included,
Kicukiro,-2.02381,30.104405,6,1,low,included,low_included,
Gakenke,-1.691705,29.843228,7,0,low,included,low_included,
Rulindo,-1.799653,30.04251,8,0,low,included,low_included,
Kicukiro,-1.987734,30.120384,9,1,low,included,low_included,
Rwamagana,-1.961751,30.445645,10,1,low,included,low_included,
Kayonza,-1.917327,30.489359,11,0,low,included,low_included,
Ruhango,-2.208825,29.764904,12,0,low,included,low_included,
Karongi,-2.264231,29.424476,13,0,low,included,low_included,
Ngororero,-2.051454,29.597128,14,0,low,included,low_included,
Ngororero,-1.844974,29.628434,15,1,low,included,low_included,
Kirehe,-2.104671,30.771625,16,0,high,included,high_included,
Ruhango,-2.108708,29.865992,17,0,high,included,high_included,
Nyabihu,-1.635183,29.465053,18,1,low,included,low_included,
Bugesera,-2.257841,29.981337,19,0,high,included,high_included,
Nyanza,-2.333151,29.679546,20,0,low,included,low_included,
Karongi,-2.167012,29.469166,21,0,low,included,low_included,
Nyanza,-2.326207,29.809578,22,0,low,included,low_included,
Kicukiro,-2.016238,30.067353,23,0,low,included,low_included,
Rubavu,-1.617875,29.305374,24,0,low,included,low_included,
Burera,-1.405256,29.8398,25,1,low,included,low_included,
Nyagatare,-1.434807,30.444111,26,0,low,included,low_included,
Rubavu,-1.719103,29.289509,27,0,low,included,low_included,
Nyabihu,-1.615255,29.614663,28,0,low,included,low_included,
Nyarugenge,-1.945378,30.061477,29,1,low,included,low_included,
Gatsibo,-1.702326,30.42992,30,0,low,included,low_included,
Ngororero,-1.931292,29.579161,31,0,low,included,low_included,
Gicumbi,-1.775652,30.243992,32,0,low,included,low_included,
Rwamagana,-1.863723,30.278094,33,0,low,included,low_included,
Rubavu,-1.571128,29.391049,34,0,low,included,low_included,
Ngoma,-2.281268,30.542436,35,0,low,included,low_included,
Nyagatare,-1.286044,30.354774,36,1,low,included,low_included,
Huye,-2.571178,29.734052,37,0,low,included,low_included,
Nyagatare,-1.209514,30.398644,38,0,low,included,low_included,
Nyagatare,-1.344389,30.247583,39,0,low,included,low_included,
Nyaruguru,-2.697863,29.639986,40,0,low,included,low_included,
Karongi,-2.15506,29.588813,41,0,high,included,high_included,
Ngoma,-2.161815,30.54885,42,1,low,included,low_included,
Nyaruguru,-2.697378,29.474576,43,0,low,included,low_included,
Rulindo,-1.910079,29.98129,44,0,low,included,low_included,
Gicumbi,-1.662699,30.126567,45,0,low,not included,low_not included,
Kicukiro,-1.9786,30.106812,46,1,low,included,low_included,
Nyaruguru,-2.744918,29.502558,47,0,low,included,low_included,
Muhanga,-1.884861,29.690426,48,0,low,included,low_included,
Rutsiro,-1.968936,29.392029,49,1,low,included,low_included,
Gicumbi,-1.438095,30.02449,50,0,low,included,low_included,
Gatsibo,-1.539527,30.226956,51,0,low,included,low_included,
Gasabo,-1.92953,30.2222,52,0,low,included,low_included,
Ruhango,-2.23792,29.788568,53,1,low,included,low_included,
Nyaruguru,-2.679462,29.574339,54,0,low,included,low_included,
Kayonza,-2.007814,30.554202,55,1,low,included,low_included,
Nyarugenge,-1.978555,30.02405,56,0,low,included,low_included,
Gasabo,-1.930018,30.100624,57,1,low,included,low_included,
Burera,-1.436482,29.698946,58,0,low,included,low_included,
Kayonza,-2.089923,30.599301,59,0,low,included,low_included,
Rubavu,-1.680772,29.25918,60,0,low,included,low_included,
Bugesera,-2.064836,30.188284,61,1,high,included,high_included,
Rulindo,-1.785416,30.090131,62,0,low,included,low_included,
Nyagatare,-1.433634,30.175425,63,0,low,included,low_included,
Nyagatare,-1.120678,30.355094,64,0,low,included,low_included,
Kirehe,-2.275476,30.640882,65,0,high,included,high_included,
Gakenke,-1.601867,29.636217,66,0,low,included,low_included,
Rubavu,-1.690447,29.300285,67,0,low,included,low_included,
Gicumbi,-1.604838,30.111524,68,0,low,included,low_included,
Nyaruguru,-2.647015,29.465716,69,0,low,included,low_included,
Kicukiro,-2.0022,30.17781,70,1,low,included,low_included,
Burera,-1.487736,29.910394,71,0,low,included,low_included,
Rubavu,-1.664011,29.254633,72,1,low,included,low_included,
Rubavu,-1.636858,29.396307,73,0,low,included,low_included,
Gakenke,-1.711657,29.752612,74,0,low,not included,low_not included,
Nyanza,-2.272171,29.646492,75,0,low,included,low_included,
Kicukiro,-2.026244,30.19429,76,0,low,included,low_included,
Ngororero,-1.829837,29.490725,77,0,low,included,low_included,
Rutsiro,-2.025115,29.486092,78,0,low,not included,low_not included,
Ruhango,-2.237386,29.713968,79,0,low,included,low_included,
Gasabo,-1.941057,30.04028,80,1,low,included,low_included,
Nyamasheke,-2.298848,29.132339,81,0,low,not included,low_not included,
Karongi,-2.14608,29.307277,82,0,low,included,low_included,
Nyamagabe,-2.516338,29.479797,83,1,low,included,low_included,
Ngoma,-2.274566,30.383169,84,0,high,included,high_included,
Nyaruguru,-2.784409,29.677393,85,0,low,not included,low_not included,
Rubavu,-1.63888,29.349857,86,0,low,included,low_included,
Kicukiro,-1.971972,30.098522,87,1,low,included,low_included,
Kicukiro,-1.976417,30.133994,88,1,low,included,low_included,
Gisagara,-2.470859,29.851333,89,0,low,included,low_included,
Nyamagabe,-2.336499,29.429548,90,0,low,included,low_included,
Nyanza,-2.358535,29.864332,91,0,high,included,high_included,
Musanze,-1.474729,29.631283,92,1,low,included,low_included,
Gatsibo,-1.62413,30.40242,93,0,low,included,low_included,
Karongi,-2.14412,29.309455,94,0,low,included,low_included,
Ruhango,-2.232386,29.600901,95,0,low,included,low_included,
