cluster,urban,lc,hv001
6,1,4,6
9,1,8,9
10,1,4,10
15,1,4,15
18,1,3,18
25,1,4,25
29,1,8,29
36,1,4,36
42,1,3,42
46,1,8,46
49,1,3,49
53,1,4,53
55,1,3,55
57,1,8,57
61,1,3,61
70,1,4,70
72,1,8,72
80,1,8,80
83,1,4,83
87,1,8,87
88,1,3,88
92,1,4,92
99,1,8,99
100,1,4,100
107,1,8,107
111,1,8,111
114,1,8,114
121,1,8,121
123,1,4,123
128,1,4,128
131,1,8,131
134,1,8,134
138,1,1,138
146,1,3,146
150,1,4,150
153,1,3,153
168,1,8,168
170,1,3,170
173,1,4,173
175,1,3,175
193,1,8,193
195,1,8,195
196,1,8,196
197,1,4,197
202,1,8,202
211,1,4,211
213,1,4,213
216,1,4,216
217,1,4,217
218,1,4,218
223,1,4,223
231,1,8,231
233,1,3,233
235,1,8,235
244,1,8,244
247,1,3,247
252,1,4,252
264,1,8,264
271,1,4,271
276,1,4,276
287,1,3,287
294,1,4,294
295,1,4,295
297,1,8,297
301,1,4,301
302,1,1,302
303,1,8,303
307,1,4,307
308,1,4,308
325,1,4,325
327,1,4,327
329,1,8,329
336,1,4,336
339,1,4,339
345,1,3,345
352,1,4,352
359,1,4,359
368,1,8,368
373,1,8,373
375,1,8,375
383,1,8,383
389,1,4,389
394,1,4,394
395,1,1,395
399,1,4,399
402,1,8,402
406,1,4,406
408,1,4,408
411,1,3,411
417,1,4,417
423,1,3,423
424,1,8,424
426,1,4,426
437,1,4,437
438,1,4,438
443,1,8,443
447,1,4,447
454,1,3,454
455,1,4,455
456,1,4,456
460,1,4,460
461,1,8,461
464,1,4,464
469,1,1,469
470,1,4,470
474,1,4,474
477,1,3,477
479,1,4,479
481,1,8,481
489,1,3,489
1,0,4,1
2,0,4,2
3,0,4,3
4,0,1,4
5,0,4,5
7,0,4,7
8,0,4,8
11,0,4,11
12,0,4,12
13,0,4,13
14,0,4,14
16,0,2,16
17,0,4,17
19,0,4,19
20,0,4,20
21,0,4,21
22,0,4,22
23,0,4,23
24,0,3,24
26,0,4,26
27,0,1,27
28,0,4,28
30,0,3,30
31,0,4,31
32,0,3,32
33,0,3,33
34,0,4,34
35,0,1,35
37,0,4,37
38,0,4,38
39,0,4,39
40,0,4,40
41,0,4,41
43,0,4,43
44,0,4,44
45,0,4,45
47,0,4,47
48,0,4,48
50,0,4,50
51,0,3,51
52,0,3,52
54,0,4,54
56,0,4,56
58,0,4,58
59,0,3,59
60,0,1,60
62,0,4,62
63,0,4,63
64,0,4,64
65,0,3,65
66,0,4,66
67,0,1,67
68,0,4,68
69,0,4,69
